unitid,institution name,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
105297,Dine College,14,"Less than $5,000","1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Public,Degree-granting,No,Yes,Rural: Remote,"Degree-granting, not primarily baccalaureate or above",Tribal Colleges,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
155140,Haskell Indian Nations University,16,"Less than $5,000","Under 1,000",Kansas,Plains IA KS MN MO NE ND SD,Four or more years,Public,Degree-granting,No,Yes,City: Small,"Degree-granting, primarily baccalaureate or above",Tribal Colleges,Associates Dominant,Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Small four-year, highly residential",Land Grant Institution,Tribal colleges,Tribal Colleges
180054,Blackfeet Community College,12,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,At least 2 but less than 4 years,Private not-for-profit,Degree-granting,No,Yes,Rural: Fringe,"Degree-granting, associate's and certificates",Tribal Colleges,Associates,Not applicable,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
180160,Chief Dull Knife College,12,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,At least 2 but less than 4 years,Public,Degree-granting,No,Yes,Rural: Remote,"Degree-granting, associate's and certificates",Tribal Colleges,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
180203,Aaniiih Nakoda College,10,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,At least 2 but less than 4 years,Public,Degree-granting,No,Yes,Rural: Remote,"Degree-granting, associate's and certificates",Tribal Colleges,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Very small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
180212,Fort Peck Community College,9,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,At least 2 but less than 4 years,Public,Degree-granting,No,Yes,Town: Remote,"Degree-granting, associate's and certificates",Tribal Colleges,Associates,Not applicable,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
180328,Little Big Horn College,14,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,At least 2 but less than 4 years,Public,Degree-granting,No,Yes,Rural: Remote,"Degree-granting, associate's and certificates",Tribal Colleges,Associates,Not applicable,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
180647,Salish Kootenai College,15,"Less than $5,000","Under 1,000",Montana,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,Degree-granting,No,Yes,Rural: Distant,"Degree-granting, not primarily baccalaureate or above",Tribal Colleges,Associates Dominant,Not applicable,"Medium full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily nonresidential",Land Grant Institution,Tribal colleges,Tribal Colleges
